SOURCE	TARGET	ENZYMES
C00025	C04076	1.5.1.9
C00025	C01879	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00328	2.6.1.7
C00025	C00123	2.6.1.6;2.6.1.42
C00025	C01205	2.6.1.40
C00025	C02356	2.6.1.2
C00025	C00073	;2.3.1.1;2.6.1.5
C00025	C00152	2.3.1.1;3.5.1.38;6.3.5.4
C00025	C00407	2.6.1.42
C00025	C00064	2.6.1.16;;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;2.4.2.14;3.5.1.38;6.3.1.2;3.5.1.2;6.3.5.1
C00025	C00334	4.1.1.19;4.1.1.15;2.6.1.19
C00025	C03284	2.6.1.22
C00025	C03465	2.6.1.42
C00025	C01252	;2.6.1.7
C00025	C00233	2.6.1.6;2.6.1.42
C00025	C01602	2.6.1.13
C00025	C00077	;6.3.5.5;2.6.1.13
C00025	C01717	;2.6.1.7
C00328	C01252	2.6.1.7
C00328	C00108	3.5.1.9;3.7.1.3
C00328	C01717	2.6.1.7
C00123	C00233	2.6.1.6;2.6.1.42
C00064	C00073	
C00064	C00152	3.5.1.38;6.3.5.4
C02946	C00334	3.5.1.63;1.2.1.3
C05647	C00525	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05647	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C03078	C01035	3.5.1.4
C01026	C00073	2.1.1.5
C01026	C00155	2.1.1.5
C03465	C00407	1.4.3.2;2.6.1.42
C00078	C00073	;1.4.3.2
C00078	C00525	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00078	C00407	1.4.3.2
C00078	C00936	
C00073	C00155	;2.1.1.13;2.1.1.5;2.1.1.10
C00073	C00407	1.4.3.2
C00334	C01035	4.1.1.19;3.5.1.63;2.1.4.1;4.1.1.15;2.6.1.19;1.2.1.19;1.2.1.3;3.5.1.4
C00334	C00077	2.1.4.1
C00327	C01602	2.1.3.3
C00327	C00077	;2.1.3.3
C00077	C01035	2.1.4.1
C02356	C02238	2.3.2.4;3.4.19.6;2.6.1.2
C01252	C01717	;2.6.1.7
