massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	832.583993588	3.16211050086	2.67016978162e-10	-8.6903750566	3022
row2	213.022216509	11.9045225929	2.67016978162e-10	-8.57248574687	1517
row3	787.665916111	3.99347800836	8.34113655194e-10	-8.22248800748	2947
row4	203.052382355	12.0510386192	2.71911997481e-09	7.88909153688	1401
row5	101.070954399	11.9299788793	3.71220202896e-09	-7.76760942133	101
row6	468.308435777	3.97057929749	4.41379952467e-09	-7.68673294501	2664
row7	809.587544759	3.18516886424	5.19468606162e-09	-7.61452236622	2987
row8	280.235072703	3.07718842405	5.21148351789e-09	7.583352965	2175
row9	808.583447081	3.16916865472	1.59703531959e-08	-7.30058273049	2985
row10	766.573801676	3.19284546459	1.76237400741e-08	-7.22492690283	2912
row11	380.255810738	6.71370195684	1.76237400741e-08	-7.22199525249	2549
row12	147.076407483	11.9052137761	1.76237400741e-08	-7.21204962735	613
row13	149.080662489	11.907904573	1.81427571242e-08	-7.18701707473	659
row14	148.079706584	11.9035780899	1.88142730146e-08	-7.16165277953	634
row15	811.604003906	3.16644759667	1.95678554018e-08	-7.13677685704	2990
row16	807.572096854	3.18234872493	2.39390013504e-08	-7.07556142416	2982
row17	783.572179769	3.20446706848	2.50580123014e-08	-7.05108589544	2937
row18	126.021980687	12.2095355114	2.82623260996e-08	-7.01018851737	324
row19	904.590341319	2.99671849663	3.25771200719e-08	-6.96494361963	3108
row20	810.600011324	3.17127473078	3.35075944025e-08	-6.94660062364	2989
row21	153.09107381	4.36395956146	4.51507907403e-08	-6.84818329843	708
row22	148.073457562	11.9153768782	4.51507907403e-08	-6.84665787727	633
row23	782.568738435	3.20423622099	4.51507907403e-08	-6.83741646895	2936
row24	806.568784902	3.17983498468	4.51507907403e-08	-6.82840292072	2980
row25	236.072804482	11.8556404	4.51507907403e-08	6.82600467165	1796
row26	794.605079309	3.17332267539	6.61996406615e-08	-6.71765934182	2960
row27	812.614479065	3.17385424764	6.61996406615e-08	-6.71701347356	2992
row28	784.58405063	3.19567541081	6.61996406615e-08	-6.70947457454	2938
row29	171.076423143	11.8927992204	6.61996406615e-08	-6.70271988164	951
row30	172.079715154	11.8965491849	6.73293640745e-08	-6.69089684262	967
row31	235.080415569	11.8522790908	6.94814927625e-08	6.67594281781	1784
row32	785.58795166	3.20243380523	8.68885062498e-08	-6.61644865942	2939
row33	169.058368482	11.8970382726	8.86409568879e-08	-6.60461066506	926
row34	815.696910801	3.3167827055	1.0961875241e-07	-6.54801982636	2999
row35	131.053271143	11.887341208	1.29939146744e-07	-6.50143837328	397
row36	813.620170711	3.16735507302	1.81877820523e-07	-6.41593767325	2995
row37	836.61396445	3.15612647393	1.93603192195e-07	-6.39480835073	3027
row38	130.049926557	11.8902778269	2.13253483056e-07	-6.36578225519	365
row39	217.107140165	3.71855200692	3.20749679645e-07	-6.26333000095	1580
row40	834.600056171	3.15696281694	3.50545194629e-07	-6.23631835235	3025
row41	769.59261213	3.18809564857	3.70128713349e-07	-6.21631800515	2918
row42	258.110001815	11.3506158706	3.70128713349e-07	-6.21188061304	1993
row43	814.626237401	3.15290002607	3.72087042058e-07	-6.20505097638	2997
row44	768.58904444	3.19569675016	3.92416770936e-07	-6.1869786281	2915
row45	835.60336156	3.15812566737	4.44587576327e-07	-6.15199547708	3026
row46	133.060775054	10.333907315	5.04929523667e-07	6.11648922944	425
row47	521.343375004	3.78543139446	5.12242028398e-07	-6.10794343109	2722
row48	494.324076189	3.86492462771	5.85997731679e-07	-6.07085338629	2693
row49	170.061675541	11.9024925551	7.0152371373e-07	-6.02293763304	940
row50	166.053307483	10.8401456842	8.73516413782e-07	5.965570786	893
row51	795.608786843	3.170420734	9.17723055317e-07	-5.94608233886	2961
row52	742.573997716	3.2101628472	9.17723055317e-07	-5.94430538947	2875
row53	770.60319519	3.19827258897	1.09151476803e-06	-5.89801959395	2921
row54	545.343097189	3.71693773541	1.167244669e-06	-5.87405748527	2745
row55	796.619432449	3.17772906877	1.167244669e-06	-5.87293218	2963
row56	544.339624353	3.7130083018	1.35938032118e-06	-5.8317991426	2744
row57	520.34004091	3.7646980979	1.39671045782e-06	-5.82097136986	2720
row58	469.311962206	3.97422789495	1.99028391351e-06	-5.73088909426	2666
row59	837.618204753	3.15076792969	2.2110912906e-06	-5.70113089636	3028
row60	797.623622054	3.16025200588	2.28487353747e-06	-5.68903941375	2966
row61	767.577111606	3.19096532669	2.29379293863e-06	-5.68152245169	2913
row62	235.118639986	6.7164970101	2.29379293863e-06	5.68009605117	1787
row63	275.103354738	11.8912975958	2.34396356733e-06	5.6709157119	2114
row64	221.153690866	3.40930317322	2.52506878505e-06	5.6488994228	1631
row65	205.126404021	9.29280034267	2.67146658174e-06	-5.63133177203	1441
row66	792.58900532	3.17424326169	3.37053323876e-06	-5.57062510805	2958
row67	905.593771012	2.99893937706	3.63858357599e-06	-5.54812524861	3109
row68	113.059673909	3.46487043657	3.71060489563e-06	5.53965947729	172
row69	204.123141581	9.29506392194	4.07245198581e-06	-5.51314821164	1419
row70	787.603593927	3.1828694994	4.14778360637e-06	-5.50508130971	2944
row71	786.600047061	3.18717774364	4.21780946289e-06	-5.49745197862	2942
row72	146.092455016	11.9397038775	4.46380196043e-06	5.47755269985	602
row73	816.701686991	3.3019741241	4.46380196043e-06	-5.47659490113	3000
row74	781.556099543	3.22256921621	5.82245675505e-06	-5.4074037917	2934
row75	801.683343276	3.29423927793	6.04223045516e-06	-5.39486486903	2973
row76	780.552582236	3.21558252077	6.39000179661e-06	-5.37765391397	2932
row77	495.327559456	3.8611968663	6.87565429183e-06	-5.35615575754	2695
row78	171.076459483	9.2359345444	6.97004162455e-06	-5.34954000202	952
row79	756.553134245	3.23796904597	9.70311221154e-06	-5.26359475067	2894
row80	424.341920756	3.70254434738	1.10854001429e-05	-5.22445829573	2620
row81	119.016192028	10.0975540407	1.10854001429e-05	-5.22383361762	253
row82	744.588998546	3.2089196055	1.15915662675e-05	-5.20949615377	2878
row83	181.072042729	6.7037301188	1.30995753139e-05	-5.17557103302	1100
row84	234.133583196	3.72693418919	1.3599455344e-05	-5.1630738858	6915
row85	523.359145717	3.73649391467	1.45147003619e-05	-5.14358802599	2725
row86	522.355883147	3.73698690196	1.54967709429e-05	-5.12402056825	2724
row87	130.049957175	9.23573823615	1.58576906146e-05	-5.11524068576	366
row88	675.543216759	3.46378694726	1.84297553931e-05	-5.07409363143	2830
row89	191.040284656	11.9114270141	1.91177449758e-05	-5.06186763919	1236
row90	185.128542171	4.43510818154	1.99378584668e-05	5.04829408822	1150
row91	759.572288112	3.2158704317	2.08600106915e-05	-5.03391543246	2898
row92	773.587627016	3.20318474758	2.14501354312e-05	-5.02398266067	2925
row93	758.568829185	3.21358041732	3.34628920736e-05	-4.90679425027	2897
row94	774.598490589	3.19673460428	3.82819621582e-05	-4.86916682245	2927
row95	149.117311529	4.01666007706	5.34816109362e-05	4.77926255266	662
row96	254.025911073	10.7961083686	5.78348350336e-05	-4.75601098641	1963
row97	154.058688856	11.7133722814	5.80546573681e-05	4.75229616824	714
