SOURCE	TARGET	ENZYMES
C05589	C00788	2.1.1.6;1.4.3.4
C05589	C05588	2.1.1.6;1.4.3.4
C05589	C03758	2.1.1.6;1.4.3.4
C05589	C05581	2.1.1.6;1.4.3.4
C05589	C02714	1.4.3.4
C05589	C00483	2.1.1.6;1.4.3.4
C05589	C00547	2.1.1.6;1.4.3.4
C05589	C01888	1.4.3.4
C05589	C05936	1.4.3.4
C05588	C00483	2.1.1.6;1.4.3.4
C05588	C03758	2.1.1.6;1.4.3.4
C05588	C05581	2.1.1.6;1.4.3.4
C05588	C01888	1.4.3.4
C05588	C00788	2.1.1.6;1.4.3.4
C05588	C00547	2.1.1.6;1.4.3.4
C05588	C02714	1.4.3.4
C05588	C05936	1.4.3.4
C02735	C00788	2.1.1.28
C02735	C00547	2.1.1.28
C03758	C05581	2.1.1.6;1.4.3.4
C03758	C02714	1.4.3.4
C03758	C00483	1.4.3.6;1.4.3.4;1.14.13.-;2.1.1.6;2.8.2.1;4.1.1.25;1.4.99.4;4.1.1.28;1.14.18.1;1.14.14.1
C03758	C05936	1.4.3.4
C03758	C00788	;2.1.1.6;2.8.2.1;1.4.3.6;1.4.3.4
C03758	C00547	;1.14.17.1;2.8.2.1;2.1.1.6;1.4.3.4
C03758	C01888	;1.4.3.6;1.4.3.4
C03758	CE2172	
C05581	C02714	1.4.3.4
C05581	C00483	2.1.1.6;1.4.3.4
C05581	C00788	2.1.1.6;1.4.3.4
C05581	C00547	2.1.1.6;1.4.3.4
C05581	C01888	1.4.3.4
C05581	C05936	1.4.3.4
C03508	C01888	
C02714	C00483	1.4.3.4
C02714	C00788	1.4.3.4
C02714	C00547	1.4.3.4
C02714	C01888	1.4.3.4
C02714	C05936	1.4.3.4
C00483	C01888	1.4.3.6;1.4.3.4
C00483	C00788	2.1.1.6;2.8.2.1;1.4.3.6;1.4.3.4
C00483	C00547	2.8.2.1;2.1.1.6;1.4.3.4
C00483	C05936	1.4.3.4
CE5536	C00788	
C05936	C00788	1.4.3.4
C05936	C00547	1.4.3.4
C05936	C01888	1.4.3.4
C01888	C00788	;1.4.3.6;1.4.3.4
C01888	C00547	;1.4.3.4
C00788	C00547	;2.1.1.28;2.8.2.1;2.1.1.6;1.4.3.4
C00547	CE5538	
