massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	258.10946707	11.3525988701	4.44987397751e-08	1.52630677429e-05	1993
row2	524.37135596	3.87509210526	0.000189326945182	0.0202953284071	2726
row3	525.374697635	3.87329057018	0.000222152989314	0.0202953284071	2728
row4	482.36053634	4.05389041096	0.000262092637706	0.0202953284071	2680
row5	526.377429447	3.87942747748	0.000295850268326	0.0202953284071	2729
row6	508.376312041	3.95609413146	0.000369107743096	0.020720874205	2706
row7	787.66651348	3.47536666667	0.000422874983775	0.020720874205	2946
row8	164.066981743	4.8772862069	0.000764577978583	0.0327812808318	870
row9	139.111777412	4.45611574074	0.00152726064485	0.0582056001315	4563
row10	480.344769694	3.95054044444	0.00268705184862	0.0921658784076	2677
row11	510.355678558	3.92654210526	0.00475205059228	0.134550884779	2711
row12	499.348375918	4.00354278607	0.00486862955338	0.134550884779	2703
row13	498.345832825	3.98350131579	0.00546537082159	0.134550884779	2701
row14	97.9912980652	4.87606766667	0.00565429458186	0.134550884779	83
row15	497.343136235	3.99208662281	0.00588414948011	0.134550884779	2698
row16	496.339679116	3.98868157895	0.00654688673705	0.140348884425	2696
row17	495.327559456	4.02291375661	0.00981325800307	0.197996911474	2695
row18	494.324076189	4.02920904762	0.0104220053321	0.198597101607	2693
row19	469.311962206	4.15258469388	0.0122864052244	0.221801946945	2666
row20	468.308435777	4.13090147059	0.0129402242782	0.221924846371	2664
row21	268.893204956	13.609731	0.0150088820554	0.238589050874	2070
row22	482.324212124	4.02668442982	0.0153030878112	0.238589050874	2678
row23	123.971609447	4.8798173913	0.0185963142632	0.277327643143	305
row24	138.054954406	6.92032016129	0.0251175692354	0.35897192699	491
row25	186.94408915	4.93589761905	0.029619923479	0.406385350132	1166
row26	832.583945761	3.36201734694	0.0319072166461	0.4209298196	3022
row27	147.076388079	7.0912002451	0.0411813640275	0.52315584672	614
row28	188.091793161	6.92044451754	0.0532519148998	0.640767744569	1191
row29	191.102653503	11.3351651961	0.0541756985204	0.640767744569	1240
row30	148.04266542	6.90865564516	0.0563281849385	0.644018914463	626
row31	153.091073632	4.61657526042	0.0657300335924	0.720588374715	706
row32	568.339757746	3.83936464646	0.0672269037635	0.720588374715	2763
row33	253.154569706	4.29989765258	0.0704876445265	0.73264430523	1960
row34	123.040321182	4.85824632353	0.0786723226284	0.774501483012	295
row35	240.142205489	6.91201798246	0.0790307635727	0.774501483012	1832
row36	518.322045577	4.16915657895	0.0847940370599	0.807898741987	2716
row37	522.355883147	3.90840438596	0.0919300053124	0.852215995194	2724
row38	519.32546194	4.15649671053	0.0947510433045	0.855252838248	2718
row39	523.359145717	3.90763464912	0.0993746127631	0.868636377303	2725
row40	171.076459452	9.20810977778	0.101298702892	0.868636377303	952
row41	287.099995375	6.92187890625	0.109995269298	0.872904145698	4050
row42	190.086226295	6.91912156863	0.110349639866	0.872904145698	1229
row43	139.050258954	7.27239050926	0.112919695574	0.872904145698	499
row44	107.085527816	4.64626226415	0.113787085943	0.872904145698	156
row45	139.017924703	4.88022066667	0.114520952059	0.872904145698	497
row46	134.060052169	7.91539795322	0.119498939927	0.89104644337	3336
row47	575.466711539	3.1796132716	0.126760338189	0.919319624269	2767
