massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	228.032433143	7.95626282051	2.79079531524e-33	5.43926006941e-30	3749
row2	268.103809611	8.25437666667	9.08260648042e-11	8.85100001517e-08	2029
row3	258.109987531	11.681581746	5.38374920792e-08	3.49764240208e-05	1971
row4	276.157825817	17.4298030303	3.28782927771e-07	0.000149445005328	2108
row5	166.032179515	5.60224583333	3.83388931062e-07	0.000149445005328	997
row6	1019.70179866	4.08359615385	5.52239062078e-07	0.000179385655332	5299
row7	992.673950195	4.12404074074	1.81754049939e-06	0.000506055204759	2984
row8	1020.70447247	4.07942820513	2.69764894241e-06	0.000657214723596	5300
row9	340.041212602	7.56595909091	4.96351260809e-06	0.00107487623035	2396
row10	268.893093403	13.8029128205	2.19339814138e-05	0.00427493297754	2048
row11	241.030928839	12.9423801587	2.50627833958e-05	0.00444066953076	1836
row12	287.204390092	4.59137272727	3.30938609702e-05	0.00537499458591	2185
row13	228.909767844	15.0038106061	7.13890932601e-05	0.0107028725203	1706
row14	234.911906903	23.774	7.71420478154e-05	0.0107392750852	1761
row15	524.371356782	4.01952460317	0.0001240515434	0.0161184305391	2650
row16	525.374655587	4.01158968254	0.000143717131253	0.0175065430507	2651
row17	586.273404208	7.00261363636	0.000161389219002	0.0175444914882	6229
row18	498.34576634	4.11398492063	0.000174515730725	0.0175444914882	2627
row19	497.343048822	4.11987063492	0.000179109005101	0.0175444914882	2626
row20	163.032878876	4.86827261905	0.000180035828509	0.0175444914882	962
row21	499.348139954	4.09872416667	0.00020504096249	0.0190297540902	2628
row22	496.339645386	4.11398730159	0.000221991583932	0.0196664362311	2624
row23	508.376251947	4.07224444444	0.000239961414131	0.0197725073516	2634
row24	526.377428327	4.01158015873	0.000243478797557	0.0197725073516	2655
row25	155.106667152	3.88597179487	0.000294515225423	0.022960406974	857
row26	145.097186406	9.83485555556	0.000355807823131	0.0266719018186	3349
row27	161.998820912	4.89379242424	0.000470521782211	0.0332345069107	946
row28	104.106978099	23.7804027778	0.000492195837359	0.0332345069107	4414
row29	1017.68486977	4.109125	0.000502512692745	0.0332345069107	6292
row30	482.36033783	4.15925833333	0.000530937552458	0.0332345069107	2609
row31	183.974627904	13.860722619	0.000536696588917	0.0332345069107	1228
row32	991.671261742	4.13582698413	0.000545666609103	0.0332345069107	2983
row33	380.900099436	23.6933888889	0.00057082638986	0.0337133525405	2480
row34	276.157861883	16.5048212121	0.000631846638005	0.0352746639317	2106
row35	1016.67432454	4.10826888889	0.000633459844849	0.0352746639317	6291
row36	330.263788859	4.46450138889	0.000725907040728	0.0391045261775	4093
row37	117.090986692	23.4777307692	0.000742364016709	0.0391045261775	336
row38	123.078972181	4.4236375	0.000764923649447	0.0392325313888	3207
row39	276.106845562	9.79604487179	0.000897585885456	0.0448562792501	2096
row40	162.050734202	10.8221027778	0.001067349039	0.0520065819255	948
row41	495.327441261	4.14176031746	0.00115443974714	0.0541075571501	2623
row42	104.106951759	16.806531746	0.00116599148297	0.0541075571501	167
row43	494.323985509	4.16749761905	0.0011997074804	0.0543368896802	2621
row44	299.13880643	4.22818484848	0.0012266922247	0.0543368896802	5122
row45	352.165349325	4.32125111111	0.00136308557197	0.0589829644207	4121
row46	510.355510167	4.0593031746	0.00141553199232	0.0589829644207	2635
row47	165.091098492	4.11302564103	0.00142776119224	0.0589829644207	988
row48	105.110349564	16.7959126984	0.00145263329512	0.0589829644207	191
row49	480.344720023	4.05724444444	0.00166308145062	0.0661499132095	2606
row50	185.080913067	6.99630833333	0.00178490914995	0.0695757586649	1243
row51	202.921622643	2.62018333333	0.00182264732082	0.0696537182014	1460
row52	130.049950373	9.57862936508	0.00201318165736	0.0754555971191	513
row53	240.10186885	7.83229102564	0.00230185550541	0.0846474788689	3802
row54	569.384391383	3.27836754386	0.00275522800451	0.0969476057273	2718
row55	105.069842945	3.78792575758	0.00276209887311	0.0969476057273	176
row56	96.055597452	4.37339487179	0.00278556486441	0.0969476057273	101
row57	128.081869602	8.16728333333	0.00292805664884	0.100118989624	469
row58	127.111740785	3.75743333333	0.00325954329589	0.106973707904	458
row59	231.133937654	8.45552539683	0.0032923852305	0.106973707904	1730
row60	511.358796772	4.05650526316	0.00330947531037	0.106973707904	2637
row61	282.137723056	4.46464242424	0.0033480739775	0.106973707904	5091
row62	659.834104265	10.6840404762	0.00350558678024	0.110199816689	2795
row63	482.324084327	4.17473015873	0.00373325479742	0.11388014842	2608
row64	472.202113758	14.0914212121	0.00373952257511	0.11388014842	6210
row65	468.308307466	4.25159920635	0.00387314226955	0.114023649242	2595
row66	548.865036011	11.9762347222	0.00389913513389	0.114023649242	2695
row67	380.900152206	2.85584583333	0.00391974576665	0.114023649242	4163
row68	159.157325051	3.89347575758	0.00428071816481	0.122461243228	4702
row69	276.659630515	17.4457878788	0.00433546730772	0.122461243228	2121
row70	199.133000268	3.87460925926	0.0044733859587	0.123231821886	1421
row71	130.049907391	4.54552435897	0.00448920438888	0.123231821886	515
row72	141.113550039	5.04989615385	0.00465489339054	0.12600537803	661
row73	128.07062129	10.1615	0.00476256886555	0.127154064643	465
row74	323.850923018	23.7397878788	0.0053390597739	0.138632043804	2347
row75	496.33951169	6.92576507937	0.00536770340911	0.138632043804	2625
row76	128.107000442	4.48309285714	0.00540586728019	0.138632043804	479
row77	469.311854045	4.2613712963	0.00547977497786	0.138702356258	2597
row78	352.165287365	6.92361060606	0.00560511871567	0.140056107395	4122
row79	286.179235605	10.7313666667	0.00582340498013	0.143668560839	2174
row80	112.07569261	4.60679393939	0.00627035992611	0.1527616437	249
row81	164.930070786	12.8514071429	0.00643957310749	0.153573681	983
row82	101.070979527	9.54272738095	0.00650920757597	0.153573681	4400
row83	184.096912638	4.58509111111	0.00654007979629	0.153573681	4804
row84	216.06904263	4.50982037037	0.00683420122016	0.158569740215	1600
row85	149.06378835	12.1613733333	0.00729815326199	0.167342361266	4663
row86	77.0790276961	9.68398636364	0.00754586012598	0.16950381179	20
row87	184.919975281	15.0732380952	0.00756635794036	0.16950381179	3554
row88	184.073340893	11.8460677083	0.00771099437684	0.17078100046	1231
row89	376.190416776	3.64989358974	0.00783553666826	0.171589449061	2464
row90	344.1361606	3.71259298246	0.00831544928734	0.180075674011	2410
row91	162.112495422	6.22072777778	0.00877776858336	0.186591714588	955
row92	227.127654012	4.33698	0.00880781823609	0.186591714588	3745
row93	191.127794266	4.16516111111	0.0090908385659	0.189399740194	1329
row94	171.076461065	9.57345238095	0.0091347232315	0.189399740194	1076
row95	167.106721401	4.57041979167	0.00951999365178	0.193344187338	1013
row96	214.098480225	12.4883871795	0.00962933531326	0.193344187338	3683
row97	312.182396522	3.80233205128	0.00967301028146	0.193344187338	2296
row98	184.92002986	7.7211974359	0.00972177032277	0.193344187338	3557
row99	183.974644131	12.8392222222	0.00992383947038	0.195369324523	1226
row100	138.091402435	4.5874225	0.0107759932	0.210024107468	623
row101	345.18479538	3.70548854167	0.0109227815236	0.210777239501	2419
row102	660.837228214	8.79231764706	0.0115916475279	0.218228469962	2797
row103	122.945480347	2.85704444444	0.0116305226328	0.218228469962	4503
row104	411.17154185	3.56589166667	0.0116448234356	0.218228469962	2538
row105	148.060409909	12.146702381	0.0125549134453	0.232456674334	776
row106	615.459373474	3.19172083333	0.0127044547401	0.232456674334	2758
row107	593.497425753	3.2450745098	0.012761859494	0.232456674334	4239
row108	129.956935536	23.2213636364	0.0130532783991	0.233839019764	3244
row109	133.085922605	4.1111452381	0.0131036880114	0.233839019764	574
row110	78.9556697499	8.31538939394	0.013208510571	0.233839019764	3003
row111	147.076370966	7.28352142857	0.0133749279276	0.233839019764	758
row112	207.116943359	3.81728571429	0.0135343389686	0.233839019764	1489
row113	232.154362847	4.27561372549	0.0135576240294	0.233839019764	1740
row114	155.117919922	23.7403636364	0.0138568525963	0.236903558861	860
row115	316.248199463	3.68016666667	0.0143061648477	0.239195935444	4067
row116	152.070626577	10.3630777778	0.0143473238902	0.239195935444	835
row117	302.214728219	6.99335119048	0.0143591197778	0.239195935444	4036
row118	202.086326599	4.48051111111	0.0147415373933	0.243485223556	4878
row119	244.100173526	3.95788703704	0.0149466369558	0.244798280899	1860
row120	253.154549094	4.36583627451	0.0156155448126	0.252127553668	3863
row121	131.08965356	17.7878452381	0.0156528650559	0.252127553668	534
row122	158.912474155	14.3956666667	0.0159653114439	0.255052393477	910
row123	193.975037257	12.0515347222	0.0167403105711	0.265259067505	1362
row124	216.066635825	10.5885227273	0.016971311519	0.265946587409	3701
row125	102.054978371	10.1519558333	0.0170566051442	0.265946587409	145
row126	246.13356781	4.50809916667	0.0174236132261	0.266657416703	1874
row127	86.0963956659	3.13777121212	0.0174316163308	0.266657416703	69
row128	236.072946989	23.0333205128	0.0176462421335	0.266657416703	3785
row129	250.05084937	23.2993452381	0.0176494647279	0.266657416703	1901
row130	190.107395172	9.64521944444	0.0179556002699	0.269195884047	1313
row131	193.975061857	6.81598974359	0.0190506147603	0.279895558031	1360
row132	261.120850336	10.1910492063	0.019057886541	0.279895558031	1983
row133	158.081225077	23.5557083333	0.0192830043765	0.279895558031	898
row134	259.024934035	13.1271538462	0.0193081200884	0.279895558031	3887
row135	148.042635963	7.00040396825	0.0195251489046	0.279895558031	775
row136	252.928134918	2.67773055556	0.0195309368354	0.279895558031	5034
row137	180.101914088	7.73240555556	0.0205932377117	0.29296511168	1188
row138	332.242943504	4.58289848485	0.020817027555	0.294002802208	4095
row139	318.89998436	2.76684895833	0.0211382859243	0.295595935315	2336
row140	306.30015564	23.1210512821	0.0212546061018	0.295595935315	2277
row141	129.956988017	11.89224	0.0213848265159	0.295595935315	509
row142	618.478304036	3.19015222222	0.0221441376105	0.302521239691	2763
row143	231.13394492	9.53870119048	0.0223414579798	0.302521239691	1729
row144	252.178869394	3.93058333333	0.0223514923117	0.302521239691	1930
row145	181.03969683	10.1134666667	0.0227780366858	0.306168231038	1197
row146	563.397710627	3.45961515152	0.0236286660392	0.315426507606	5262
row147	184.07304455	4.07724285714	0.0241019042508	0.319555179489	1230
row148	252.048427929	10.6093984848	0.0244024836037	0.319730435552	1924
row149	483.327348497	4.18151481481	0.0244432195471	0.319730435552	2610
row150	802.686396281	6.70005972222	0.0255447042853	0.329609558535	4295
row151	134.106156569	9.94777435897	0.0255963022606	0.329609558535	6488
row152	787.665985107	3.64839313725	0.0257916970784	0.329609558535	2916
row153	454.292623138	4.10811916667	0.0258749422554	0.329609558535	2586
row154	160.096867243	9.51138194444	0.0266954817241	0.333724804017	3435
row155	559.475274222	3.28058214286	0.0267322931694	0.333724804017	2705
row156	79.9896954623	10.7850484848	0.0268167155783	0.333724804017	32
row157	226.936447144	11.601130303	0.0270335838849	0.333724804017	4965
row158	563.428436279	3.21720714286	0.0272228359157	0.333724804017	2707
row159	111.044079372	4.70132063492	0.0272544949429	0.333724804017	227
row160	170.153992393	8.38785909091	0.0273993820642	0.333724804017	1068
row161	343.169223986	3.68534210526	0.0276343234944	0.333724804017	2406
row162	89.0709070478	6.24532857143	0.0277390550286	0.333724804017	84
row163	380.900231101	8.29394848485	0.0283197095235	0.338620330437	4160
row164	292.908052717	10.613677381	0.0293061820029	0.348278955633	2224
row165	330.156733922	3.6715547619	0.0302078598115	0.356818901653	2382
row166	129.102210412	23.7643461538	0.030635729379	0.358359855006	3235
row167	880.589807129	3.28468416667	0.0307302638042	0.358359855006	2975
row168	219.133948586	8.48724090909	0.030889920801	0.358359855006	5897
row169	82.0517991384	3.66066388889	0.0317767762305	0.36646708209	46
row170	717.839998245	8.81725729167	0.0326631947716	0.374473921234	2833
row171	180.005678813	10.1066714286	0.0331301967	0.374924720708	1170
row172	302.232474694	7.00284871795	0.033460232291	0.374924720708	4037
row173	359.163891792	3.61611875	0.0334707251991	0.374924720708	2439
row174	215.08563878	8.2787	0.033480304999	0.374924720708	1586
row175	133.099022715	9.60622894737	0.0337715836843	0.374924720708	581
row176	170.117608812	4.53127777778	0.033856721829	0.374924720708	1063
row177	265.165728978	6.98126071429	0.0342835695758	0.376570079539	2004
row178	139.050289408	23.5957111111	0.0343917260944	0.376570079539	629
row179	190.107373324	23.7071818182	0.034804687234	0.378962767705	1318
row180	125.096122069	3.91099509804	0.0351482397649	0.380577329455	443
row181	290.159596034	10.3192047619	0.0360933856528	0.388651981422	4003
row182	288.143800002	6.9691025641	0.0365294941015	0.391186725296	2191
row183	220.886891879	14.4160666667	0.0370216766978	0.394290972043	1641
row184	778.828277588	11.883975	0.0380566735701	0.40089143176	2888
row185	82.0475997925	23.8543205128	0.0380930923488	0.40089143176	4342
row186	104.008276876	23.9069333333	0.0382584947703	0.40089143176	3096
row187	86.9391071613	5.63293717949	0.0385962322871	0.402267683035	72
row188	209.972640991	23.4344166667	0.0389152696759	0.403435428715	1517
row189	188.128159714	3.93522583333	0.0401925733074	0.414472621037	1280
row190	169.085946476	6.99209607843	0.0407376003249	0.417882015965	3477
row191	523.359119234	4.02841111111	0.0412342968561	0.420762537029	2649
row192	249.184816088	3.64012261905	0.0419362683309	0.42388077671	1894
row193	445.164628029	8.40312395833	0.0420356443787	0.42388077671	2579
row194	140.010733287	3.66800555556	0.0421923400111	0.42388077671	642
row195	522.356025332	4.03345952381	0.0431248535913	0.431027382818	2647
row196	246.133504232	3.82370972222	0.0434045999117	0.431610026673	1877
row197	257.149768829	23.1028541667	0.0436806004351	0.431817412842	1962
row198	218.102422714	3.9783375	0.0438685724693	0.431817412842	1625
row199	133.098977896	9.9555	0.0447799447331	0.438573428567	6487
row200	227.16413062	3.86314880952	0.0450614359023	0.439123692868	3748
row201	234.076944351	13.568240625	0.045377058557	0.439999438446	1748
row202	219.929516602	15.1442533333	0.0474030441547	0.457368975533	1638
row203	268.893122746	23.3840512821	0.0478312625924	0.459227245283	3920
